article_id,time,title,url,symbol,volume,spam
134196,2018-01-13 12:06:53,Harare businessman sues Chihuri for $3m,http://nehandaradio.com/2018/01/13/harare-businessman-sues-chihuri-3m/,MMM,42.0,s
231764,2018-02-23 21:19:40,The Latest: 3M to pay $850 million to settle chemicals suit,http://www.decaturdaily.com/news/other_news/national/the-latest-m-to-pay-million-to-settle-chemicals-suit/article_077cc4e5-8cc8-5855-8ae7-98db9b7b0110.html,MMM,38.0,h
234348,2018-02-24 15:24:39,The Latest: 3M to pay $850 million to settle chemicals suit,http://qconline.com/news/national/the-latest-m-to-pay-million-to-settle-chemicals-suit/article_8dc197e3-0c9e-57b7-8f60-6f499d7ba022.html,MMM,48.0,h
271682,2018-03-05 13:12:38,"Global Hot Packs Market 2017 3M Company , Beiersdorf Australia , BREG , Bruder Healthcare , Caldera International",http://www.lincolntrailpublishing.com/global-hot-packs-market-2017-3m-company-beiersdorf-australia-breg-bruder-healthcare-caldera-international-3843.html,MMM,0.0,h
90858,2017-12-26 14:48:10,Crews gaining ground on devastating California wildfires,http://dietpillo.com/2017/12/crews-gaining-ground-on-devastating-california-wildfires/,ABT,0.0,s
157482,2018-01-23 00:32:10,Neil Diamond Announces Retirement From Concert Touring After Parkinson's Diagnosis,http://wisdomsave.com/2018/01/23/neil-diamond-announces-retirement-from-concert-touring.html,ABT,993.0,s
213864,2018-02-20 07:50:21,New study: Laboratory information systems market to grow at a CAGR of 7.3% between 2016 and 2027,https://www.whatech.com/market-research/medical/440565-laboratory-information-systems-market-to-grow-at-a-cagr-of-7-3-between-2016-and-2027,ABT,52.0,s
194496,2018-02-13 20:00:29,3 Dividend Stocks for In-the-Know Investors,http://www.msn.com/en-us/news/msn/3-dividend-stocks-for-in-the-know-investors/ar-BBJ6oOm,ABBV,42.0,h
196443,2018-02-14 15:28:58,3 Top Stocks You Can Buy and Hold for the Next Decade,http://host.madison.com/business/investment/markets-and-stocks/top-stocks-you-can-buy-and-hold-for-the-next/article_0383a26f-626e-573e-ab29-815f752ad60f.html,ABBV,49.0,h
28876,2017-12-01 00:40:50,Research delivers insight into the global managed mobility services market,https://www.whatech.com/market-research/industrial/411693-research-delivers-insight-into-the-global-managed-mobility-services-market,ACN,39.0,s
93843,2017-12-27 18:54:18,"Accenture poised to outpace TCS, Cognizant, Infosys, Wipro in 2017-18",http://www.livemint.com/Industry/lG20nCND9IAeethJtqNp3H/Accenture-poised-to-outpace-TCS-Cognizant-Infosys-Wipro-i.html,ACN,44.0,h
131054,2018-01-12 09:20:28,"Hot tech stock Activision will keep surging, says trader",https://www.cnbc.com/2018/01/12/hot-tech-stock-activision-will-keep-surging-says-trader.html,ATVI,0.0,h
68627,2017-12-16 20:00:42,Advance Auto Parts Inc (AAP) Stake Increased by Neuberger Berman Group LLC,http://iphonefresh.com/2017/12/17/advance-auto-parts-inc-aap-stake-increased-by-neuberger.html,AAP,423.0,h
68671,2017-12-16 20:31:49,Advance Auto Parts Inc (AAP) Stake Increased by Neuberger Berman Group LLC,http://alironbilbao.com/2017/12/advance-auto-parts-inc-aap-stake-increased-by-neuberger/,AAP,444.0,h
189192,2018-02-11 13:21:51,Clash at Daytona 2018: Live updates from NASCAR's preseason race,http://www.sportingnews.com/nascar/news/clash-at-daytona-2018-updates-drivers-results-lineup-finish-order/xhrp63kdfjej12wh6kf81rgg3,AAP,525.0,s
77367,2017-12-20 10:28:20,Call of Duty WW2 The Resistance release date set,http://hbucollegian.com/2017/12/call-of-duty-ww2-the-resistance-release-date-set/,AES,46.0,s
147615,2018-01-18 14:37:33,Thursdayâ€™s Biggest Winners and Losers in the S&amp;P 500,http://247wallst.com/investing/2018/01/18/thursdays-biggest-winners-and-losers-in-the-sp-500-40/,AES,763.0,h
53470,2017-12-10 15:02:20,SoftBank's Saudi Ties Could Mean Cash After Kingdom's Crackdown,https://www.bloomberg.com/news/articles/2017-12-10/softbank-s-saudi-ties-could-mean-cash-after-kingdom-s-crackdown,AMG,31.0,s
97717,2017-12-29 07:11:39,Aflac (AFL) to Invest $250 Million Post Tax Bill Enactment,https://www.zacks.com/stock/news/287364/aflac-afl-to-invest-250-million-post-tax-bill-enactment,AFL,49.0,h
192164,2018-02-12 19:16:44,Diverse Group Of Horseplayers Flock To Vegas As NHC Soars In Popularity,https://www.forbes.com/sites/mattrybaltowski/2018/02/12/diverse-group-of-horseplayers-flock-to-vegas-as-nhc-soars-in-popularity/,AFL,21.0,s
142834,2018-01-16 23:56:16,Lucasflm reveals 'Solo: A Star Wars Story' plot details,http://newstrendstoday.com/2018/01/17/lucasflm-reveals-solo-a-star-wars-story-plot-details.html,AKAM,54.0,s
99230,2017-12-29 19:04:24,Aflac (AFL) to Invest $250 Million Post Tax Bill Enactment,https://finance.yahoo.com/news/aflac-afl-invest-250-million-142702912.html,ALL,593.0,h
90175,2017-12-26 10:05:14,Altria Group Inc (MO) Holdings Trimmed by Neville Rodie &amp; Shaw Inc,http://thesivertimes.com/2017/12/26/altria-group-inc-mo-holdings-trimmed-by-neville-rodie-shaw.html,MO,46.0,h
40823,2017-12-05 10:35:40,"VMware CEO cites partnerships with Amazon, IBM and Dell as keys to turnaround",https://www.bizjournals.com/austin/news/2017/12/05/vmware-pat-gelsinger-turnaround-amazon-ibm-dell.html,AMZN,838.0,h
57692,2017-12-12 09:10:50,Amazon Takes Aim at Europe,https://money.usnews.com/investing/stock-market-news/articles/2017-12-12/amazon-com-inc-amzn,AMZN,45.0,h
69696,2017-12-17 13:58:36,Disney compra 21st Century Fox por 52 mil 400 millones de ...,http://www.e-consulta.com/nota/2017-12-14/espectaculos/disney-compra-21st-century-fox-por-52-mil-400-millones-de-dolares,AMZN,23.0,s
85532,2017-12-23 14:12:32,Amazon Prime Now Aids Late Shoppers With 1-2 Hour Deliveries,http://blackchristiannews.com/2017/12/amazon-prime-now-aids-late-shoppers-with-1-2-hour-deliveries/,AMZN,44.0,h
94546,2017-12-28 02:35:22,Amazon's Prime Air cargo jet fleet is bigger than ever and has a new name (Video),https://www.bizjournals.com/triangle/news/2017/12/27/amazon-prime-air-cargo-jet-fleet-boeing-767.html,AMZN,972.0,h
95671,2017-12-28 11:57:12,Amazon's Prime Air cargo jet fleet is bigger than ever and has a new name (Video),https://www.bizjournals.com/houston/news/2017/12/28/amazon-prime-air-cargo-jet-fleet-boeing-767.html,AMZN,49.0,h
107022,2018-01-03 04:14:06,Ecommerce Giant Amazon May Invest In Insurance Startup Acko,https://inc42.com/buzz/ecommerce-amazon-insurance-acko/,AMZN,48.0,h
150263,2018-01-19 12:19:43,"Amazon boosts monthly fee for Prime by $2, maintains yearly rate",https://finance.yahoo.com/news/amazon-hikes-price-prime-18-142951363.html,AMZN,0.0,h
150292,2018-01-19 12:24:55,"Amazon boosts monthly fee for Prime by $2, maintains yearly rate",http://whbl.com/news/articles/2018/jan/19/amazon-hikes-price-for-its-prime-service-by-18-percent/,AMZN,0.0,h
150763,2018-01-19 15:33:56,"Amazon boosts monthly fee for Prime by $2, maintains yearly rate",https://www.reuters.com/article/us-amazon-com-price/amazon-boosts-monthly-fee-for-prime-by-2-maintains-yearly-rate-idUSKBN1F81P3?feedType=RSS,AMZN,0.0,h
151500,2018-01-19 22:33:43,"Amazon boosts monthly fee for Prime by $2, maintains yearly rate",https://www.reuters.com/article/us-amazon-com-price/amazon-boosts-monthly-fee-for-prime-by-2-maintains-yearly-rate-idUSKBN1F81P3,AMZN,45.0,h
152896,2018-01-20 17:11:11,"Amazon boosts monthly fee for Prime by $2, maintains yearly rate",http://ewn.co.za/2018/01/19/amazon-boosts-monthly-fee-for-prime-by-usd2-maintains-yearly-rate,AMZN,0.0,h
153594,2018-01-21 05:02:59,Toronto's Inclusion in Amazon List Could Increase Tension with Trump,http://iphonenewsbuzz.com/2018/01/21/torontos-inclusion-in-amazon-list-could-increase-tension/,AMZN,55.0,h
197113,2018-02-14 22:08:52,The cloud is the latest frontier in Walmart's battle with Amazon for e-commerce domination,http://business.financialpost.com/news/retail-marketing/rpt-focus-walmart-goes-to-the-cloud-to-close-gap-with-amazon,AMZN,0.0,h
98306,2017-12-29 12:01:20,"Pakistan Releases 145 Indian Fishermen, More Likely In January",http://dietpillo.com/2017/12/pakistan-releases-145-indian-fishermen-more-likely-in/,AEE,43.0,s
34510,2017-12-03 01:48:29,Smooth landing for American Airlines and its union pilots,http://www.bostonherald.com/business/business_markets/2017/12/smooth_landing_for_american_airlines_and_its_union_pilots,AAL,34.0,h
106209,2018-01-02 16:57:53,Formidable money-making stocks for today: American Airlines Group Inc. (NASDAQ:AAL),https://news4j.com/2018/01/02/formidable-money-making-stocks-for-today-american-airlines-group-inc-nasdaqaal-2/,AAL,0.0,h
65814,2017-12-15 10:58:14,Electric Eel-Inspired Devices Could Power Artificial Human Organs,https://www.scientificamerican.com/article/electric-eel-inspired-devices-could-power-artificial-human-organs/,AEP,0.0,s
114971,2018-01-06 03:37:43,Heartland Power Cooperative Will Sponsor a Rural Electric Youth Tour,https://kiow.com/2018/01/06/heartland-power-cooperative-will-sponsor-a-rural-electric-youth-tour/,AEP,49.0,s
180031,2018-02-01 03:00:15,Volkswagen picks Le Mans winner Dumas for electric Pikes Peak attempt,https://www.autosport.com/other/news/134149/vw-picks-le-mans-winner-dumas-for-pikes-peak,AEP,48.0,s
76838,2017-12-20 06:31:24,"EPS for MainSource Financial Group, Inc. (MSFG) Expected At $0.56; 1 Analysts Are Bullish The Bancorp, Inc. (TBBK) Last Week",https://www.bibeypost.com/eps-for-mainsource-financial-group-inc-msfg-expected-at-0-56-1-analysts-are-bullish-the-bancorp-inc-tbbk-last-week/,AIG,0.0,s
109101,2018-01-03 23:57:58,Meet three-time entrepreneur from Aurangabad who survived 9/11 and a failed startup,https://yourstory.com/2018/01/three-time-entrepreneur-aurangabad-roadbounce-ranjeet-deshmukh/,AMT,35.0,s
182757,2018-02-01 23:30:47,"â€˜They were holding handsâ€™: Hamilton couple of 60 years dies days apart, has emotional service together",http://www.whio.com/news/local-obituaries/they-were-holding-hands-hamilton-couple-years-dies-days-apart-has-emotional-service-together/qtHyyAfzv8nN4O5NfasCtJ/,AWK,40.0,s
256906,2018-03-01 21:21:59,AmerisourceBergen shareholders reject proposals related to opioid crisis,https://www.wvgazettemail.com/news/health/wv_drug_abuse/amerisourcebergen-shareholders-reject-proposals-related-to-opioid-crisis/article_cd0fb615-b87f-5daf-bd85-080d1caf947c.html,ABC,290.0,h
33447,2017-12-02 11:54:50,Eagles sign Alshon Jeffery to 4-year extension,http://currenthollywood.com/2017/12/eagles-sign-alshon-jeffery-to-4-year-extension/,AMGN,43.0,s
194513,2018-02-13 20:10:52,3 Dividend Stocks for In-the-Know Investors,http://www.nwitimes.com/business/investment/markets-and-stocks/dividend-stocks-for-in-the-know-investors/article_f73df800-be5c-5bfd-9271-16bc2d2c73b6.html,AMGN,585.0,h
264950,2018-03-03 18:13:06,3 Top Oil Stocks to Buy Right Now,http://www.msn.com/en-us/news/msn/3-top-oil-stocks-to-buy-right-now/ar-BBJOS50,APC,490.0,h
257775,2018-03-02 01:36:08,"Analysts are on the Bearish side about Anthem, Inc. (NYSE:ANTM) this week.",https://reurope.com/2018/03/01/analysts-are-on-the-bearish-side-about-anthem-inc-nyseantm-this-week/,ANTM,0.0,h
96114,2017-12-28 14:42:27,Money-making stocks you should surely buy: Apache Corporation (APA),https://news4j.com/2017/12/28/money-making-stocks-you-should-surely-buy-apache-corporation-apa-2/,APA,527.0,h
263679,2018-03-03 09:54:47,3 Top Oil Stocks to Buy Right Now,https://www.fool.com/investing/2018/03/03/3-top-oil-stocks-to-buy-right-now.aspx,APA,379.0,h
270947,2018-03-05 10:08:51,3 Top Oil Stocks to Buy Right Now,https://nz.finance.yahoo.com/news/3-top-oil-stocks-buy-161900626.html,APA,391.0,h
107789,2018-01-03 11:03:30,Portlandâ€™s Celebrated Wooden Tower Comes With Another Big Price Tag for Low-Income Housing,http://www.wweek.com/news/city/2018/01/03/portlands-celebrated-wooden-tower-comes-with-another-big-price-tag-for-low-income-housing/,AIV,0.0,s
116906,2018-01-07 04:59:03,(Our view) A change for new investments,http://www.cullmantimes.com/opinion/our-view-a-change-for-new-investments/article_c95af9fa-f319-11e7-ae1e-fbb15c34e67a.html,AIV,0.0,s
157400,2018-01-22 22:55:37,Should you buy that serviced apartment or hotel room you were staying in over the holidays?,https://www.commercialrealestate.com.au/news/should-you-buy-that-serviced-apartment-or-hotel-room-you-were-staying-in-over-the-holidays/,AIV,0.0,s
210936,2018-02-19 13:58:17,Donald Trump Jr. will dine with apartment buyers in India,http://www.msn.com/en-us/news/msn/donald-trump-jr-will-dine-with-trump-apartment-buyers-in-india/ar-BBJkUWn,AIV,0.0,s
61702,2017-12-14 00:05:12,Apple grants $390 million to Finisar to boost laser chip production,http://www.thefiscaltimes.com/latestnews/2017/12/13/Apple-invest-390-million-chipmaker-Finisar,AAPL,0.0,h
78554,2017-12-20 20:32:29,Apple Limits Performance in Old iPhones to Prevent Shutdowns,https://www.wsj.com/articles/apple-limits-performance-in-old-iphones-to-prevent-shutdowns-1513812316,AAPL,29.0,h
78840,2017-12-21 00:02:26,Apple Limits Performance in Old iPhones to Prevent Shutdowns,https://www.wsj.com/articles/apple-limits-performance-in-old-iphones-to-prevent-shutdowns-1513812316?mod=nwsrl_technology,AAPL,49.0,h
79838,2017-12-21 10:08:22,Apple Limits Performance in Old iPhones to Prevent Shutdowns,https://www.wsj.com/articles/apple-limits-performance-in-old-iphones-to-prevent-shutdowns-1513812316?mod=nwsrl_corrections,AAPL,48.0,h
80477,2017-12-21 13:45:17,Apple Limits Performance in Old iPhones to Prevent Shutdowns,https://www.wsj.com/articles/apple-limits-performance-in-old-iphones-to-prevent-shutdowns-1513812316?mod=trending_now_5,AAPL,49.0,h
81023,2017-12-21 17:09:36,Apple Limits Performance in Old iPhones to Prevent Shutdowns,https://www.wsj.com/articles/apple-limits-performance-in-old-iphones-to-prevent-shutdowns-1513812316?mod=trending_now_4,AAPL,0.0,h
91686,2017-12-27 01:38:43,Apple faces lawsuits after saying it slows down aging iPhones,https://www.reuters.com/article/us-apple-batteries-lawsuits/apple-faces-lawsuits-after-saying-it-slows-down-aging-iphones-idUSKBN1EL034,AAPL,27.0,h
93177,2017-12-27 14:13:39,Apple faces lawsuits after saying it slows down aging iPhones,https://www.reuters.com/article/us-apple-batteries-lawsuits/apple-faces-lawsuits-after-saying-it-slows-down-aging-iphones-idUSKBN1EL034?il=0,AAPL,49.0,h
94975,2017-12-28 07:15:14,Apple faces lawsuits after saying it slows down aging iPhones,https://www.today.ng/technology/mobile/48187/apple-faces-lawsuits-slows-aging-iphones,AAPL,0.0,h
95116,2017-12-28 08:10:06,Apple faces lawsuits after saying it slows down aging iPhones,http://thenationonlineng.net/apple-faces-lawsuits-saying-slows-aging-iphones/,AAPL,49.0,h
145130,2018-01-17 18:22:22,"Apple plans new U.S. campus, to pay $38 billion in foreign cash taxes",https://www.reuters.com/article/us-apple-tax/apple-plans-new-u-s-campus-to-pay-38-billion-in-foreign-cash-taxes-idUSKBN1F62FJ,AAPL,32.0,h
145669,2018-01-18 00:54:55,"Apple plans new U.S. campus, to pay $38 billion in foreign cash taxes",https://www.reuters.com/article/us-apple-tax/apple-to-pay-38-billion-in-repatriation-tax-idUSKBN1F62FJ,AAPL,39.0,h
145716,2018-01-18 01:33:51,"Apple plans new U.S. campus, to pay $38 billion in foreign cash taxes",https://finance.yahoo.com/news/apple-plans-u-campus-pay-38-billion-foreign-005203736--business.html,AAPL,0.0,h
146225,2018-01-18 06:55:36,"Apple plans new U.S. campus, to pay $38 billion in foreign cash taxes",http://www.4-traders.com/APPLE-4849/news/Apple-plans-new-U-S-campus-to-pay-38-billion-in-foreign-cash-taxes-25827120/?countview=0,AAPL,41.0,h
148646,2018-01-18 22:21:09,"Apple plans new U.S. campus, to pay $38 billion in foreign cash taxes",https://finance.yahoo.com/news/apple-plans-u-campus-pay-38-billion-foreign-005203248--business.html,AAPL,36.0,h
241708,2018-02-27 00:00:26,Apple plans biggest iPhone yet for 2018 -Bloomberg,https://www.msn.com/en-gb/finance/technology/apple-plans-biggest-iphone-yet-for-2018-bloomberg/ar-BBJCN2R,AAPL,43.0,h
45378,2017-12-06 20:24:59,"ADM to pay up to $100,000 for Decatur Airport renovations",http://herald-review.com/news/local/adm-to-pay-up-to-for-decatur-airport-renovations/article_0d3a7b8b-714e-5b04-aef6-d06cbb7d2eaa.html,ADM,40.0,h
130822,2018-01-12 08:02:54,Congress May Fix Tax Tweak Giving Farm Co-ops Edge Over Cargill,http://www.fwbusiness.com/business/latest/businessweekly/article_c568c878-f7a0-11e7-b636-23600e938852.html,ADM,35.0,s
136712,2018-01-14 21:38:39,Congress May Fix Tax Tweak Giving Farm Co-ops Edge Over Cargill,https://www.agweb.com/article/congress-may-fix-tax-tweak-giving-farm-co-ops-edge-over-cargill-blmg/,ADM,43.0,s
216294,2018-02-20 22:00:40,Red Sox Trade Bryce Brentz To The Pittsburgh Pirates,http://techkenyot.com/2018/02/21/red-sox-trade-bryce-brentz-to-the-pittsburgh-pirates/,ADM,42.0,s
110692,2018-01-04 14:10:00,U.S. shares higher at close of trade; Dow Jones Industrial Average up 0.63%,https://ca.investing.com/news/stock-market-news/us-shares-higher-at-close-of-trade-dow-jones-industrial-average-up-063-941893,ARNC,20.0,h
33658,2017-12-02 14:28:47,"More than 200 volunteers pack meals at North Naples Middle School for Collier County, Haiti",http://www.naplesnews.com/story/news/local/2017/12/02/more-than-200-volunteers-pack-meals-north-naples-middle-school-collier-county-haiti/913238001/,T,0.0,s
